City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,fale old settlement,-9.3852,-171.2468,28.94,76,23,7.2,TK,1698212860
83,dalyellup,-33.3986,115.6168,25.34,39,8,4.16,AU,1698212861
84,port moresby,-9.4431,147.1797,28.68,65,40,5.14,PG,1698212861
85,lebu,-37.6167,-73.65,8.45,91,4,6.98,CL,1698212861
86,macenta,8.5435,-9.471,19.84,99,98,0.51,GN,1698212861
87,ivdel',60.6911,60.4206,-2.67,73,8,2.24,RU,1698212861
88,college,64.8569,-147.8028,-3.03,80,75,1.54,US,1698212593
89,arraial do cabo,-22.9661,-42.0278,22.49,92,52,8.78,BR,1698212861
90,fort bragg,35.139,-79.006,10.75,93,0,0.0,US,1698212861
91,bulayevo,54.9056,70.4439,5.28,82,100,6.65,KZ,1698212861
92,mount pearl,47.5166,-52.7813,5.18,91,40,6.69,CA,1698212862
93,aasiaat,68.7098,-52.8699,-5.95,69,100,5.31,GL,1698212862
94,mahanje,-9.9333,35.3333,25.86,56,65,3.3,TZ,1698212862
95,luoyang,34.6836,112.4536,28.61,25,70,3.0,CN,1698212862
96,nikolayevsk-on-amure,53.1406,140.73,4.98,59,10,2.36,RU,1698212862
97,jamestown,42.097,-79.2353,19.77,58,0,3.6,US,1698212654
98,margaret river,-33.95,115.0667,24.47,37,12,5.65,AU,1698212862
99,bubanza,-3.1167,29.4,26.12,60,100,0.7,BI,1698212863
100,turpan,42.9333,89.1667,21.11,27,5,1.59,CN,1698212863
101,saint-philippe,-21.3585,55.7679,28.77,76,8,2.54,RE,1698212863
102,al jawf,29.5,38.75,22.55,48,0,0.3,SA,1698212863
103,rancho palos verdes,33.7445,-118.387,18.88,89,70,1.79,US,1698212660
104,pantai remis,4.4557,100.6288,30.01,74,52,3.55,MY,1698212863
105,puerto armuelles,8.2833,-82.8667,21.16,95,100,6.71,PA,1698212863
106,sampit,-2.5333,112.95,32.53,59,74,0.64,ID,1698212864
107,geraldton,-28.7667,114.6,27.23,41,0,9.77,AU,1698212864
108,khor,47.8861,134.9464,13.16,65,82,1.39,RU,1698212864
109,loja,-3.9931,-79.2042,12.06,88,97,0.45,EC,1698212864
110,smithers,54.7804,-127.1743,-7.82,79,0,1.54,CA,1698212864
111,port mathurin,-19.6833,63.4167,24.88,79,17,6.81,MU,1698212864
112,kappeln,54.6612,9.9313,9.95,94,30,4.86,DE,1698212864
113,mejit,10.2753,170.8646,28.16,77,70,5.59,MH,1698212865
114,saint-francois,46.4154,3.9054,13.69,68,0,5.66,FR,1698212865
115,chonchi,-42.6128,-73.8092,6.56,98,17,1.34,CL,1698212865
116,yamrat,10.1116,9.826,21.71,28,84,1.08,NG,1698212865
117,haapsalu,58.9431,23.5414,-0.03,88,72,5.75,EE,1698212865
118,fortuna,40.5982,-124.1573,10.92,91,96,0.85,US,1698212865
119,hermanus,-34.4187,19.2345,15.33,69,38,3.49,ZA,1698212865
120,yangjiang,21.85,111.9667,28.19,72,67,3.86,CN,1698212865
121,hammerfest,70.6634,23.6821,-2.75,63,0,4.12,NO,1698212866
122,ebon,4.582,168.6964,29.3,78,100,6.81,MH,1698212866
123,brasileia,-11.0161,-68.7481,25.72,65,89,1.19,BR,1698212866
124,kibale,0.8,31.0667,20.0,87,91,0.33,UG,1698212866
125,peronne,49.9333,2.9333,10.98,93,100,6.17,FR,1698212866
126,hawaiian paradise park,19.5933,-154.9731,25.73,92,100,1.54,US,1698212866
127,zurrieq,35.8311,14.4742,22.2,94,20,1.54,MT,1698212866
128,jayapura,-2.5333,140.7,33.66,75,100,2.61,ID,1698212867
129,vilyuchinsk,52.9306,158.4028,6.15,73,96,2.29,RU,1698212867
130,moree,-29.4667,149.85,35.65,12,2,10.34,AU,1698212867
131,dmitrovsk-orlovskiy,52.505,35.1464,4.09,81,100,2.67,RU,1698212867
132,klyuchi,52.2667,79.1667,10.45,35,100,8.54,RU,1698212867
133,madingou,-4.1536,13.55,23.86,91,100,0.92,CG,1698212867
134,tinajo,29.0788,-13.7081,19.49,68,40,2.57,ES,1698212617
135,ketchikan,55.3422,-131.6461,5.99,60,0,4.12,US,1698212867
136,katsuren-haebaru,26.3369,127.8719,28.01,69,75,5.66,JP,1698212867
137,punta arenas,-53.15,-70.9167,6.06,75,20,5.66,CL,1698212817
138,nadym,65.5333,72.5167,-3.33,92,91,2.24,RU,1698212868
139,ilulissat,69.2167,-51.1,-2.99,68,75,7.72,GL,1698212617
140,severo-yeniseyskiy,60.3725,93.0408,-4.12,83,100,4.47,RU,1698212868
141,minas de marcona,-15.2119,-75.1103,13.43,93,94,5.76,PE,1698212868
142,vila franca do campo,37.7167,-25.4333,20.23,89,84,6.41,PT,1698212868
143,rio grande,-32.035,-52.0986,14.97,98,26,2.73,BR,1698212573
144,al ghayzah,16.2079,52.176,27.2,76,56,5.01,YE,1698212868
145,abepura,-2.6333,140.5833,33.45,46,20,7.72,ID,1698212868
146,nova sintra,14.8667,-24.7167,24.23,74,10,5.53,CV,1698212869
147,guarapari,-20.6667,-40.4975,22.91,84,56,4.45,BR,1698212618
148,chaoyang,41.5703,120.4586,25.9,13,2,3.8,CN,1698212869
149,susuman,62.7833,148.1667,-13.34,92,96,0.89,RU,1698212869
150,marang,5.2056,103.2059,31.95,63,49,3.05,MY,1698212869
151,whitehorse,60.7161,-135.0538,-6.57,63,75,1.03,CA,1698212681
152,mutoko,-17.397,32.2268,27.09,41,13,1.99,ZW,1698212869
153,cole harbour,44.6724,-63.4751,12.06,87,11,2.06,CA,1698212869
154,colchani,-20.3,-66.9333,8.95,26,88,3.3,BO,1698212870
155,rikaze,29.25,88.8833,9.15,17,0,2.34,CN,1698212870
156,tarnogskiy gorodok,60.4997,43.5761,-2.03,89,77,3.41,RU,1698212870
157,sawakin,19.1059,37.3321,30.19,60,0,1.13,SD,1698212870
158,sisimiut,66.9395,-53.6735,-3.57,76,95,5.4,GL,1698212619
159,broome,42.2506,-75.833,10.65,72,19,2.12,US,1698212870
